Terms,TOP,BOT
100,11,17
1000,4,3
10000,5,17
100000,3,4
10000year,0,2
100dollar,1,0
103041,2,0
1034,2,0
1034volunteer,1,0
103rd,0,1
105,0,3
10500,0,1
10billionyear,1,0
10digit,4,0
10hour,0,2
10musicmusic,1,0
10percent,1,0
10th,1,0
10year,0,1
10yearold,1,0
1100,0,2
110000,0,2
111,0,1
111day,0,1
112,0,1
113,0,1
11400,0,1
11600,0,1
11yearold,1,1
120,2,2
1200,0,1
12000,0,1
120odd,0,1
129,1,0
12and,0,1
12laughterive,1,0
12point,1,0
12volt,0,1
12yearolds,1,0
130,2,0
13000,0,1
135,1,1
1369,1,0
1369volunteer,1,0
13ive,1,0
13yearold,1,1
140000,1,1
14th,0,1
14yearold,2,0
150,4,0
1500,3,1
15000,1,0
1561,1,0
15hour,0,1
15laughteri,1,0
15percent,1,0
15th,1,0
160,2,2
1600,2,3
162,2,0
163,0,1
1632,1,0
1642,1,0
165,0,1
16500,0,1
1667,1,0
16story,0,1
170,0,1
1700,0,1
17000,0,1
170pound,0,1
171,2,0
175,3,0
177000,1,0
17so,1,0
17th,1,1
17thi,1,0
180,0,1
1800,1,0
1800s,1,0
1812,0,1
182000,1,0
1824,1,0
1824ab,1,0
1870,0,1
1880s,0,1
18month,0,1
18my,1,0
18yearold,1,0
1900,0,1
1900s,4,0
1903,1,0
1920s,1,0
1930s,3,0
1938,1,0
1939,0,2
1940s,1,0
1945,1,1
1947,2,0
1949,2,1
1950s,3,3
1953,0,1
19531953,1,0
1957,0,1
1958,0,1
19591959,1,0
1960,4,1
1960s,0,2
1960svideo,0,1
1962,3,1
1963,1,0
1964,1,0
1966,1,0
196666,1,0
1967,0,1
1970,3,0
1974,1,0
1975,0,2
1976,0,2
1980,0,1
1980s,1,2
1981,0,2
1983,0,1
1986,0,2
1987,1,1
1990s,1,3
1993,0,3
1994,1,2
1995,1,0
1996,1,3
1997,0,1
1998,8,5
1999,2,2
19th,1,0
200,3,8
2000,4,15
20000,3,2
2000because,1,0
2000foot,0,1
2000im,0,1
2000s,1,0
2000so,0,1
2001,0,6
2003,2,4
2004,0,1
2005,0,4
2006,0,2
2007,1,4
2008,1,3
2008so,0,1
2009,0,2
2010,3,5
2011,0,2
2012,1,0
2013,1,0
2015,0,6
2020,1,0
205849,2,0
2065,1,0
20minute,1,0
20odd,0,2
20percent,1,0
20s,15,0
20th,6,5
20year,0,1
215,0,1
218,0,1
218564volunteer,1,0
